BoostPressure,EngineFuelRate,EngineLoad,EngineOilPressure,EngineRpm,GroundSpeed,HaulDistance,Payload,TankFuelLevel,GearSelect,ServiceHours
3.12,88.19,31.7,587.67,1360.65,0.0,0.0,0.0,33.24,0.0,541.002751223903
8.23,109.86,34.6,692.82,1731.02,0.0,0.0,0.0,33.24,0.0,665.7083360640972
3.05,64.07,22.3,572.3,1265.98,0.0,0.0,0.0,33.24,0.0,614.6758534489782
12.03,104.47,33.5,685.22,1862.32,0.0,0.0,0.0,33.24,0.0,398.04388739549904
10.08,71.29,21.4,612.62,1482.57,0.0,0.0,0.0,33.24,0.0,548.4135769032582
0.0,16.23,8.1,463.18,701.05,0.0,0.0,0.0,33.24,0.0,189.573171182019
2.28,33.42,13.1,505.3,937.5,0.0,0.0,0.0,32.55,0.0,264.75399369801016
0.0,15.38,7.7,461.88,699.35,0.0,0.0,0.0,32.07,0.0,339.2869834674566
1.73,27.38,10.1,497.67,898.08,0.0,0.0,0.0,32.07,0.0,450.1671419024133
3.07,43.72,18.6,522.4,1045.97,0.0,0.0,0.0,32.07,-0.1,453.9222096209196
11.58,84.66,33.3,485.63,896.05,0.0,0.0,0.0,32.07,-0.53,165.99806884779537
12.72,78.23,28.2,480.02,865.85,0.0,0.0,0.0,32.07,-0.27,318.8124348251149
0.0,28.5,20.07,458.3,700.4,0.0,0.0,0.0,32.07,0.0,317.6770558287244
0.0,31.52,23.13,457.77,701.45,0.0,0.0,0.0,32.07,0.0,317.52610961173923
0.0,31.52,23.17,457.4,703.12,0.0,0.0,0.0,32.07,0.0,779.2228832873298
0.0,35.87,25.5,457.48,712.78,0.0,0.0,0.0,32.07,-0.2,452.4858858829466
14.85,76.01,27.07,477.95,869.07,0.0,0.0,0.0,32.07,-0.3,158.75557930232753
9.87,70.6,21.1,571.22,1441.77,0.0,0.0,0.0,32.03,0.0,53.83218815062719
0.0,17.26,8.77,423.38,700.32,0.0,0.0,0.0,31.24,0.0,113.41222805860161
0.0,16.83,8.87,424.58,700.65,0.0,0.0,0.0,31.24,0.0,474.1241739666293
0.0,16.87,8.57,435.4,700.83,0.0,0.0,0.0,31.24,0.0,150.44371582043823
0.0,17.06,8.53,436.05,700.0,0.0,0.0,0.0,31.24,0.0,516.6820115944502
0.0,16.99,8.63,436.47,699.25,0.0,0.0,0.0,31.24,0.0,255.6631104564658
0.0,16.95,8.4,437.13,699.88,0.0,0.0,0.0,31.24,0.0,75.53340989792196
0.0,18.02,9.27,437.48,699.13,0.0,0.0,0.0,31.24,-0.07,714.7290885217735
10.83,117.45,44.97,461.82,946.72,0.07,0.0,0.0,31.24,-0.6,221.96699557105603
0.0,16.71,8.57,432.68,700.07,0.0,0.0,0.0,31.64,0.0,320.7049928659835
0.0,16.56,8.8,433.37,701.8,0.0,0.0,0.0,31.64,0.0,348.3135036037711
0.0,17.03,9.2,433.97,699.77,0.0,0.0,0.0,31.54,0.0,599.3405324977939
0.0,16.82,9.17,434.7,701.0,0.0,0.0,0.0,31.52,0.0,506.00513841003703
0.0,16.97,8.77,435.18,699.17,0.0,0.0,0.0,31.49,0.0,762.9008064175432
0.0,16.93,8.4,435.72,700.4,0.0,0.0,0.0,31.62,0.0,713.9039342499018
0.0,16.92,8.43,436.4,700.13,0.0,0.0,0.0,31.59,0.0,411.92461352152895
0.0,16.27,8.27,437.12,703.55,0.0,0.0,0.0,31.62,0.0,706.6463100743131
16.13,140.35,49.93,467.77,996.15,0.0,0.0,0.0,30.83,-0.63,465.7759040287201
15.12,119.99,43.8,456.97,936.37,0.0,0.0,0.0,30.57,-0.63,622.4425308395148
40.18,152.08,52.67,468.82,1055.47,0.0,0.0,0.0,30.57,-0.7,643.1191005985747
0.42,17.23,8.9,422.68,699.63,0.0,0.0,0.0,30.57,0.0,315.99964617939986
0.22,18.49,11.43,403.68,694.73,0.0,0.0,0.0,30.78,0.0,131.91085778315755
3.0,59.57,21.27,506.57,1189.03,0.0,0.0,0.0,31.24,0.0,756.8462881952582
6.83,91.52,36.53,456.48,871.62,0.03,0.0,0.0,31.24,-0.5,345.2861512196614
12.2,109.85,42.4,457.65,911.77,0.0,0.0,0.0,31.04,-0.57,748.6886582320949
28.17,134.21,50.93,466.73,1019.9,0.0,0.0,0.0,30.57,-0.63,471.7538380847109
29.28,137.52,50.33,459.22,1004.88,0.0,0.0,0.0,30.57,-0.63,117.91537462975248
27.6,125.12,45.1,452.0,970.55,0.0,0.0,0.0,30.57,-0.57,509.45347774970287
0.73,18.9,10.1,414.97,700.03,0.02,0.0,0.0,30.57,-0.03,477.168097133057
0.18,17.43,9.07,413.35,700.97,0.0,0.0,0.0,30.57,0.0,319.99706689116283
0.02,17.33,8.83,415.68,699.28,0.0,0.0,0.0,30.57,0.0,618.9480900765848
0.02,17.43,9.13,417.02,699.22,0.0,0.0,0.0,30.57,0.0,116.82078622838162
0.0,17.53,9.1,418.42,699.73,0.0,0.0,0.0,30.57,0.0,469.7888696931768
0.0,17.28,8.83,419.95,700.27,0.0,0.0,0.0,30.57,0.0,678.0242977465823
0.0,17.14,8.8,421.37,699.92,0.0,0.0,0.0,30.57,0.0,31.064711946550233
0.0,16.89,11.67,412.58,1223.62,0.0,0.0,0.0,30.57,0.0,604.4058285111678
0.0,20.21,13.07,441.73,700.47,0.0,0.0,0.0,30.57,0.0,474.83760296105174
0.0,16.5,10.5,462.15,701.48,0.0,0.0,0.0,30.57,0.0,115.71160073111241
0.0,17.24,13.23,461.85,701.32,0.0,0.0,0.0,30.57,0.0,460.87273677593475
0.0,16.99,12.87,461.43,703.12,0.0,0.0,0.0,30.57,0.0,140.0578252533669
0.0,16.94,12.8,460.95,703.08,0.0,0.0,0.0,30.57,0.0,301.6260347506686
0.0,16.9,12.6,460.57,702.85,0.0,0.0,0.0,30.57,0.0,375.4050502947939
4.55,66.27,25.37,563.98,1272.05,0.0,0.0,0.0,30.57,0.0,754.5453719468496
14.93,98.27,37.73,484.9,903.63,0.02,0.0,0.0,30.57,-0.63,560.1661507869285
19.92,93.87,35.83,484.27,903.07,0.0,0.0,0.0,30.57,-0.6,795.8815510060886
17.93,84.24,30.3,479.93,903.13,0.0,0.0,0.0,30.57,-0.3,757.7911452209228
24.68,118.12,42.57,538.78,1304.65,0.0,0.0,0.0,30.57,-0.43,139.72092151033576
20.85,93.44,35.63,474.08,897.62,0.0,0.0,0.0,30.57,-0.67,738.9888183121657
23.38,97.99,34.7,471.85,916.23,0.0,0.0,0.0,30.57,-0.37,468.24821803213854
0.08,17.13,8.57,445.67,700.32,0.0,0.0,0.0,30.57,0.0,729.5461030354854
0.0,16.84,8.23,445.28,700.18,0.0,0.0,0.0,30.57,0.0,39.9322482308271
0.0,16.78,8.47,444.9,700.95,0.0,0.0,0.0,30.57,0.0,345.21049590910843
0.0,16.43,8.13,444.82,700.4,0.0,0.0,0.0,30.57,0.0,223.27660831072717
0.0,16.24,8.2,444.6,699.17,0.0,0.0,0.0,30.57,0.0,103.6581349633052
0.0,16.03,8.23,444.68,700.62,0.0,0.0,0.0,30.57,0.0,307.9547464437419
0.0,15.82,8.13,444.83,699.53,0.0,0.0,0.0,30.57,0.0,61.830099768230866
9.1,99.07,42.6,463.85,904.6,0.0,0.0,0.0,30.57,-0.67,388.2336733909324
37.48,165.77,57.47,482.45,1078.95,0.0,0.0,0.0,30.57,-0.73,108.13436813789303
28.12,118.67,42.27,463.37,968.83,0.0,0.0,0.0,30.29,-0.57,792.7557321756685
0.27,17.08,8.63,431.08,700.52,0.0,0.0,0.0,30.07,0.0,273.1015038944679
8.18,68.19,22.37,506.6,1283.93,0.0,0.0,0.0,30.07,0.0,380.3229951702233
5.23,38.35,14.17,481.18,1087.27,0.0,0.0,0.0,30.07,0.0,65.16202860945486
0.0,17.62,9.23,427.03,699.27,0.0,0.0,0.0,30.07,0.0,114.99080787731509
0.0,17.38,8.97,428.28,699.93,0.0,0.0,0.0,30.07,0.0,496.10643716882623
0.0,17.19,8.8,429.2,700.83,0.0,0.0,0.0,30.07,0.0,283.98162762840366
0.2,28.57,14.6,431.27,725.35,0.0,0.0,0.0,30.07,-0.2,40.30550262074394
34.28,180.8,64.03,474.68,1104.32,0.0,0.0,0.0,30.07,-0.9,682.456678706294
0.35,18.13,9.37,423.33,702.6,0.0,0.0,0.0,30.07,-0.03,655.0216498794907
7.6,112.08,39.17,621.92,1718.22,0.0,0.0,0.0,30.15,0.0,59.11493404384237
13.97,101.04,29.77,663.75,1926.25,0.0,0.0,0.0,30.15,0.0,356.04565178990015
4.7,39.51,15.17,515.98,1048.1,0.0,0.0,0.0,30.15,0.1,674.217536839009
0.1,30.49,18.4,455.93,701.18,0.0,0.0,0.0,30.15,0.27,544.8285152813914
0.03,29.37,17.63,455.65,699.98,0.0,0.0,0.0,30.21,-0.6,336.80698781072715
0.0,26.01,15.23,455.2,698.67,0.0,0.0,0.0,30.23,-0.43,730.7741377389975
0.15,42.2,27.27,454.52,700.68,0.65,0.0,0.0,30.05,-1.0,637.8377492151267
1.7,45.49,22.37,466.0,818.22,2.47,0.0,0.0,30.09,0.77,336.6646058489714
3.35,56.35,15.9,506.23,1154.53,6.4,0.0,0.0,30.04,1.0,375.86212134189554
1.52,40.87,17.33,489.07,1056.58,5.05,0.1,0.0,30.17,1.0,120.22434000590874
0.1,19.01,10.57,452.7,698.65,0.83,0.1,0.0,30.06,0.3,271.57741194209666
0.0,21.84,12.0,452.17,700.0,0.93,0.1,0.0,30.07,0.8,154.36280643297505
0.18,33.2,20.77,452.53,709.05,1.97,0.1,0.0,30.1,0.73,395.4062718667192
1.23,43.72,24.7,467.13,857.23,2.72,0.2,0.0,30.1,1.13,662.2175240903234
2.2,53.9,21.2,479.38,995.58,5.47,0.2,0.0,29.98,2.0,154.26855512672046
0.55,35.31,21.33,454.42,750.25,2.63,0.27,0.0,29.96,0.7,118.59052663623152
4.57,60.32,28.2,456.33,790.15,1.05,0.3,0.0,30.1,-0.17,400.1141811991329
2.88,60.54,23.2,493.85,1681.57,3.77,0.14,0.0,34.65,0.0,335.3578587466618
11.73,103.73,34.43,566.68,1378.28,0.15,0.0,0.0,30.02,0.4,45.40018311073072
3.4,45.94,14.47,510.23,1099.53,5.85,0.0,0.0,29.82,1.7,284.4959558945775
0.32,43.27,28.37,455.48,698.95,0.85,0.0,0.0,29.68,-0.97,92.28383426444634
0.0,18.02,9.63,455.35,699.8,0.0,0.0,0.0,29.64,-0.1,113.17477770988626
0.0,14.98,7.3,454.97,700.12,0.0,0.0,0.0,29.64,0.0,781.9071592414839
0.0,14.99,7.43,454.7,699.82,0.0,0.0,0.0,29.64,0.0,81.47110043361317
0.0,15.09,7.5,454.55,699.63,0.0,0.0,0.0,29.64,0.0,88.62662619030016
0.0,14.61,7.2,454.52,700.22,0.0,0.0,0.0,29.64,0.0,192.94328268989193
0.0,14.94,7.5,454.48,699.45,0.0,0.0,0.0,29.64,0.0,105.0215938303154
0.1,37.09,22.97,454.6,709.9,0.02,0.0,0.0,29.77,-0.83,122.30156415481906
0.27,37.89,23.83,454.43,709.37,0.0,0.0,0.0,29.81,-0.83,206.472137166631
0.0,14.72,7.27,453.6,700.13,0.0,0.0,0.0,29.81,0.0,538.5479645122832
0.0,14.36,7.17,453.43,700.0,0.0,0.0,0.0,29.81,0.0,552.943774102605
0.0,14.28,7.2,453.33,699.72,0.0,0.0,0.0,29.81,0.0,534.6341590317461
0.0,14.59,7.33,453.22,699.92,0.0,0.0,0.0,29.81,0.0,628.8505113623178
0.0,14.3,7.13,453.27,700.43,0.0,0.0,0.0,29.81,0.0,688.8983001786764
0.02,17.86,9.67,453.25,697.98,0.0,0.0,0.0,29.8,0.23,601.5188639727348
0.0,14.06,7.2,453.27,701.18,0.0,0.0,0.0,29.68,0.0,45.365100917631935
0.07,31.98,20.03,452.78,700.52,0.72,0.0,0.0,29.69,-0.63,309.78565850458835
1.87,63.42,35.33,461.2,816.47,2.22,0.03,0.0,29.69,-0.83,553.4340054705535
10.13,117.41,34.47,537.28,1366.23,8.1,0.1,0.0,29.56,1.8,238.9005927749531
0.47,33.62,21.17,447.7,698.38,1.43,0.18,0.0,29.64,-0.5,517.8671716844037
0.0,16.11,8.93,422.07,698.3,0.0,0.1,0.0,29.77,0.0,264.40961506361054
0.0,20.02,10.1,471.7,823.35,0.0,0.0,0.0,29.81,0.0,106.90148609937023
0.38,51.51,14.1,514.5,1174.55,0.0,0.0,0.0,29.81,0.0,225.06870164049906
2.37,51.11,16.77,492.55,1006.87,3.22,0.0,0.0,29.59,0.6,494.2358837987558
4.18,57.73,12.07,603.08,1671.02,9.7,0.03,0.0,29.52,1.03,660.8926080378005
35.18,181.26,54.03,585.88,1643.17,17.12,0.15,0.0,29.32,2.87,92.6693280513864
43.2,164.83,45.0,588.55,1813.78,26.63,0.69,0.0,29.27,4.67,367.2503459822037
43.83,167.47,50.6,587.92,1862.18,27.35,0.97,0.0,29.29,4.2,464.9920051797235
22.43,103.04,26.67,538.53,1582.63,29.2,1.27,0.0,29.27,5.0,152.4627502783551
11.8,70.42,28.33,471.4,1067.85,6.75,1.48,0.0,29.17,4.9,57.680935834592674
69.92,214.7,57.07,543.8,1647.52,29.17,1.63,0.0,29.19,4.67,190.5671594631567
66.35,201.83,54.03,535.1,1652.85,32.97,1.98,0.0,29.14,5.0,405.24217662069714
123.72,330.68,99.93,494.98,1456.07,29.15,2.3,0.0,28.58,5.0,378.58456138390466
34.15,80.64,21.3,533.67,1750.5,34.92,4.0,0.0,28.52,5.0,245.79244209063472
11.28,90.52,23.47,517.5,1575.18,25.35,5.65,0.0,28.39,4.37,74.72582500401768
53.27,182.59,51.13,539.4,1820.78,36.5,6.89,0.0,28.21,5.0,776.9762263435696
44.53,132.24,36.5,517.37,1651.98,32.97,7.25,0.0,28.23,5.0,84.48058912754641
12.88,47.62,11.7,537.98,1755.78,35.12,7.6,0.0,28.43,5.0,560.9712188995036
18.57,75.58,19.87,548.05,1804.57,36.2,7.97,0.0,28.42,5.0,312.5859583277488
13.68,96.07,24.23,515.65,1603.38,32.02,8.33,0.0,28.38,5.0,684.3724410945433
17.87,95.92,23.57,513.62,1593.68,29.3,9.02,0.0,28.32,4.73,85.82498273847159
11.12,47.27,11.23,549.68,1821.72,26.78,9.3,0.0,28.34,4.0,554.8984732215467
6.5,48.88,13.13,549.22,1791.33,26.38,9.58,0.0,28.4,4.0,692.1254032024299
15.75,90.69,24.3,535.57,1714.78,25.8,9.85,0.0,28.26,4.1,257.6570032314339
42.55,197.18,57.33,504.0,1549.75,22.27,10.12,0.0,28.12,4.0,540.8962989985594
3.87,29.08,13.07,445.43,1080.08,7.07,10.28,0.0,28.29,1.4,478.2873051581846
0.03,18.56,9.77,380.98,700.67,0.0,10.3,0.0,28.04,0.0,500.76545412684936
0.0,18.2,9.6,387.18,700.37,0.0,10.3,0.0,28.04,0.0,354.29694914740685
0.0,17.15,8.77,394.5,700.47,0.0,10.3,0.0,28.04,0.03,515.9819089653174
0.48,25.69,12.7,409.0,776.25,1.18,10.3,0.0,27.86,0.2,354.99742341095407
0.0,17.25,8.83,401.35,701.5,0.0,10.3,0.0,27.87,0.0,366.89281627960736
0.0,17.59,9.2,404.47,700.63,0.0,10.3,0.0,27.87,0.0,589.6989474077564
0.48,25.0,11.3,417.47,768.57,1.08,10.3,0.0,27.85,0.2,207.08079984641518
0.0,14.82,7.33,410.5,701.15,0.0,10.4,0.0,28.29,0.0,403.4470051940152
0.0,15.23,7.73,417.98,699.52,0.0,10.4,82.2,28.29,0.0,603.5585640636782
4.27,59.61,21.53,438.43,876.48,1.97,10.4,171.33,28.08,0.33,722.4430017856721
76.68,282.43,82.23,527.67,1598.42,16.0,10.45,204.31,27.65,3.0,54.13641224539606
45.67,127.12,36.83,551.07,1776.97,20.62,10.63,204.1,27.58,3.33,768.4500963005703
113.37,315.53,96.33,489.28,1440.15,12.07,10.83,204.1,27.45,4.0,91.1321880222531
34.63,143.41,39.4,536.12,1751.42,13.82,0.03,0.0,27.78,2.07,362.95553212380037
22.9,88.54,26.0,492.28,1401.25,10.97,0.18,0.0,27.89,4.0,697.6918714480416
59.28,194.67,53.3,517.55,1634.12,18.1,0.31,0.0,27.67,3.8,174.43723140555085
103.15,284.21,82.4,519.9,1712.87,30.48,0.56,0.0,27.6,4.63,201.2285755488556
100.97,264.39,76.97,488.33,1484.55,29.63,0.88,0.0,27.53,5.0,422.3295339476608
65.03,201.91,54.6,516.78,1678.02,32.07,1.2,0.0,27.46,5.0,290.9849457007367
66.05,209.24,55.43,515.75,1683.85,33.65,1.55,0.0,27.45,5.0,527.5643190523551
67.12,194.13,52.27,506.1,1612.0,26.33,1.89,0.0,27.4,4.43,359.45608733489644
47.47,143.4,40.77,517.12,1661.43,16.52,2.11,0.0,27.44,3.0,736.0198675014253
4.4,52.72,29.73,397.68,800.68,2.47,2.2,0.0,27.31,1.07,94.34460865720757
0.38,20.94,12.5,355.9,695.72,0.0,1.25,0.0,56.59,0.0,434.71330157329794
0.0,19.58,10.67,396.17,700.3,0.0,0.0,0.0,94.6,0.0,73.20779173600022
8.9,90.95,28.93,517.7,1534.87,9.98,0.0,0.0,94.61,1.47,432.3081415890483
12.8,84.32,29.0,503.5,1447.22,16.88,0.13,0.0,94.73,4.0,604.9852314909367
19.9,123.42,32.67,552.23,1803.12,31.08,0.38,0.0,94.82,4.53,535.8433513872733
27.5,136.41,34.63,537.87,1728.15,34.55,0.74,0.0,94.44,5.0,264.35120646079304
19.47,116.57,31.07,512.1,1566.22,26.22,1.06,0.0,94.46,4.47,443.99734992851154
2.63,22.39,6.0,562.58,1866.73,27.42,1.34,0.0,94.74,4.0,782.0771844267729
8.87,65.89,14.13,537.33,1699.23,24.98,1.61,0.0,94.58,4.0,794.580666683818
7.63,40.92,10.07,540.48,1704.68,19.82,1.85,0.0,94.72,3.27,115.29103586284327
5.18,54.16,11.47,512.33,1554.0,20.73,2.07,0.0,95.12,4.0,357.97727494567516
1.02,27.23,12.23,434.65,989.6,4.93,2.2,0.0,94.89,1.13,56.622466059663566
0.0,16.23,8.13,390.08,700.45,0.0,2.2,0.0,94.97,0.0,600.1348808906769
0.0,15.84,7.97,394.47,700.62,0.0,2.2,0.0,95.04,0.0,437.4059355691861
0.0,18.41,9.77,397.33,701.02,1.0,2.2,0.0,94.97,0.3,415.7088486473658
0.0,18.12,9.43,400.6,700.9,0.0,2.2,0.0,95.16,0.0,643.1187606480817
0.0,16.61,8.93,406.67,710.92,0.97,2.2,0.0,95.18,0.27,707.1364304307863
0.0,18.11,9.43,405.7,699.5,0.0,2.2,0.0,95.58,0.0,735.8463763418695
21.68,145.41,50.23,455.08,1075.73,4.02,2.3,164.71,94.95,0.9,283.85783804164384
102.73,318.48,99.93,499.17,1492.53,7.48,2.34,184.9,94.45,1.0,281.0150027159252
128.42,325.63,98.63,512.12,1638.83,10.4,2.42,184.9,94.52,1.9,621.4130432118254
129.48,320.93,95.13,505.7,1594.25,19.3,2.6,184.9,94.43,3.87,159.65465333184693
91.6,228.53,67.5,510.62,1613.48,18.22,2.77,184.9,94.1,3.87,215.40817872260232
30.98,107.77,28.7,527.03,1690.52,24.95,3.01,184.9,94.26,4.0,591.3317910006444
25.18,129.02,42.47,458.72,1202.87,9.95,3.2,184.9,94.09,1.97,304.4207987025875
7.62,64.15,23.03,433.67,1080.8,0.32,2.99,166.41,93.38,0.5,308.18877348906244
37.25,155.76,44.23,515.52,1639.07,15.18,0.03,0.0,93.63,2.7,434.37748545900104
37.75,162.21,44.77,507.28,1555.32,17.45,0.19,0.0,93.49,3.8,788.4913356563775
29.38,130.97,45.73,457.73,1227.45,7.33,0.31,0.0,93.86,3.87,393.0943579089653
16.8,54.51,16.2,545.33,1768.98,21.55,0.48,0.0,94.06,3.37,387.00068513301085
7.35,45.0,11.5,514.3,1560.1,20.22,0.71,0.0,94.1,4.0,576.1693011982716
0.32,16.39,8.83,397.03,768.53,1.73,0.8,0.0,94.1,0.93,651.4052395103063
0.1,15.47,8.43,398.67,763.32,1.28,0.8,0.0,94.31,0.23,584.9415939360042
0.0,18.42,9.7,391.1,700.83,0.0,0.8,0.0,94.38,0.0,466.163947174653
0.35,29.09,15.8,432.82,954.02,4.17,0.88,0.0,94.31,0.13,248.38358718487143
0.0,15.87,7.87,402.1,699.88,0.0,0.9,72.92,94.18,0.0,561.7963046591904
0.58,31.34,14.37,408.48,743.07,0.67,0.9,145.91,94.13,0.17,697.4788624498469
90.78,312.1,96.43,507.68,1550.65,8.98,0.9,188.6,93.53,1.03,346.5867285899876
118.03,317.74,99.97,494.62,1512.6,6.25,1.0,188.6,93.44,1.0,600.8349988280388
108.25,290.24,84.93,516.4,1686.22,15.68,1.09,190.49,93.53,2.53,228.51494222221663
123.92,330.59,99.03,491.88,1505.42,13.8,1.27,191.3,93.25,3.0,370.3679947403143
72.72,169.47,49.37,522.52,1716.47,18.78,1.42,191.3,93.24,3.17,259.9928327834059
19.28,68.51,17.9,513.97,1595.45,23.08,1.66,191.3,93.34,4.0,629.5430812455306
14.13,109.99,45.97,442.78,1090.53,3.38,1.8,191.3,93.45,1.57,465.2894577647967
8.93,64.25,25.4,438.87,1097.23,1.5,1.23,127.53,93.42,0.63,245.76302045217017
31.78,161.14,45.47,521.23,1649.95,14.65,0.03,0.0,93.31,2.47,773.4384229955031
73.4,230.51,65.73,527.6,1755.17,25.78,0.26,0.0,93.33,4.0,729.7260057915701
22.97,94.15,25.53,525.38,1687.13,24.35,0.51,0.0,93.69,4.0,143.7581092583423
22.92,114.18,39.83,459.97,1171.48,6.77,0.7,0.0,93.42,3.93,473.17410142565495
0.27,18.12,9.47,374.8,701.35,0.0,0.7,0.0,94.32,0.0,695.7056462083128
0.0,18.2,9.47,380.17,700.9,0.0,0.7,0.0,94.38,0.0,65.56373585514666
0.0,17.99,9.2,385.38,701.05,0.0,0.7,0.0,94.03,0.0,351.08158297342015
1.27,37.4,17.03,403.2,791.9,1.08,0.7,0.0,93.97,0.27,761.7528100784257
0.0,17.24,8.77,392.28,700.07,0.0,0.7,0.0,94.27,0.0,548.4423544797683
0.0,17.32,8.9,395.65,699.92,0.0,0.7,0.0,94.27,0.0,788.3518718430278
6.48,77.21,30.33,448.9,1043.43,4.22,0.76,3.26,93.76,-0.07,716.4579056629009
0.0,15.9,8.07,398.0,699.63,0.0,0.8,79.37,93.98,0.0,634.7934785900143
0.0,15.25,7.57,401.67,699.3,0.0,0.8,109.56,94.05,0.0,252.5923698235274
